"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","MMR","Myanmar","2000","2000",48.91194,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","MMR","Myanmar","2001","2001",50.40128,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","MMR","Myanmar","2002","2002",50.79821,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","MMR","Myanmar","2003","2003",50.52566,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","MMR","Myanmar","2004","2004",50.76604,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","MMR","Myanmar","2005","2005",50.20523,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","MMR","Myanmar","2006","2006",49.93463,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","MMR","Myanmar","2007","2007",49.6306,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","MMR","Myanmar","2009","2009",49.25243,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","MMR","Myanmar","2010","2010",48.68512,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","MMR","Myanmar","2017","2017",46.04202,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","1973","1973",50.52347,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","1977","1977",49.62961,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","1978","1978",46.15456,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","1979","1979",45.42911,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","1980","1980",43.46153,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","1981","1981",42.16903,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","1982","1982",44.29241,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","1983","1983",45.09208,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","1984","1984",43.6544,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","1985","1985",43.7353,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","1986","1986",41.74211,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","1991","1991",38.88342,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","1992","1992",42.04818,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","1993","1993",42.7123,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","1994","1994",40.56859,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","1996","1996",41.16209,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","1998","1998",36.77014,"‡","UIS Estimation"
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","1999","1999",38.9108,"‡","UIS Estimation"
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","2000","2000",47.42071,"‡","UIS Estimation"
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","2001","2001",49.37555,"‡","UIS Estimation"
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","2002","2002",48.64598,"‡","UIS Estimation"
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","2003","2003",48.3796,"‡","UIS Estimation"
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","2004","2004",47.92967,"‡","UIS Estimation"
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","2005","2005",45.89267,"‡","UIS Estimation"
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","2006","2006",46.17207,"‡","UIS Estimation"
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","2007","2007",46.03007,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","2008","2008",44.88426,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","2009","2009",44.25721,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","2010","2010",43.35088,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","2011","2011",44.42036,"‡","UIS Estimation"
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","2012","2012",44.50714,"‡","UIS Estimation"
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","2013","2013",46.14295,"‡","UIS Estimation"
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","2014","2014",45.48899,"‡","UIS Estimation"
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","2015","2015",44.72513,"‡","UIS Estimation"
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","LSO","Lesotho","2016","2016",45.48141,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","GBR","United Kingdom of Great Britain and Northern Ireland","1972","1972",48.27866,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","GBR","United Kingdom of Great Britain and Northern Ireland","1973","1973",48.10985,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","GBR","United Kingdom of Great Britain and Northern Ireland","1974","1974",47.98898,,
"FOFSTP_3","Out-of-school youth of upper secondary school age, percentage female (%)","GBR","United Kingdom of Great Britain and Northern Ireland","1975","1975",48.27957,,
