"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","MEX","Mexico","1994","1994",45.51,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","MEX","Mexico","1996","1996",40.92,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","MEX","Mexico","1998","1998",45.09,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","MEX","Mexico","2000","2000",41.24,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","MEX","Mexico","2002","2002",35.85,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","MEX","Mexico","2004","2004",31.86,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","MEX","Mexico","2005","2005",30.61,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","MEX","Mexico","2006","2006",30.57,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","MEX","Mexico","2008","2008",31.02,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","MEX","Mexico","2010","2010",29.35,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","MEX","Mexico","2012","2012",26.34,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","MEX","Mexico","2014","2014",23.48,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","MEX","Mexico","2016","2016",1.78753,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","AFG","Afghanistan","2011","2011",60.59283,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","AFG","Afghanistan","2015","2015",56.67585,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","ALB","Albania","2009","2009",27.01845,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","ARM","Armenia","2006","2006",13.52225,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","ARM","Armenia","2011","2011",11.3357,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","ARM","Armenia","2016","2016",9.49833,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BLR","Belarus","2012","2012",0.41282,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BTN","Bhutan","2010","2010",44.59454,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BOL","Bolivia (Plurinational State of)","1997","1997",22.5,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BOL","Bolivia (Plurinational State of)","1999","1999",20.92,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BOL","Bolivia (Plurinational State of)","2000","2000",25.53,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BOL","Bolivia (Plurinational State of)","2001","2001",23.59,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BOL","Bolivia (Plurinational State of)","2002","2002",21.34,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BOL","Bolivia (Plurinational State of)","2003","2003",35.06392,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BOL","Bolivia (Plurinational State of)","2004","2004",17.33,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BOL","Bolivia (Plurinational State of)","2007","2007",14.94,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BOL","Bolivia (Plurinational State of)","2008","2008",16.1976,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BOL","Bolivia (Plurinational State of)","2009","2009",13.18,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BOL","Bolivia (Plurinational State of)","2011","2011",15.38,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BRA","Brazil","1990","1990",42.95,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BRA","Brazil","1993","1993",38.1,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BRA","Brazil","1995","1995",33.44,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BRA","Brazil","1996","1996",30.56,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BRA","Brazil","1999","1999",21.5,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BRA","Brazil","2001","2001",18.93,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BRA","Brazil","2002","2002",18.55,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BRA","Brazil","2003","2003",17.66,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BRA","Brazil","2004","2004",18.15,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BRA","Brazil","2005","2005",18.36,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BRA","Brazil","2006","2006",17.88,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BRA","Brazil","2007","2007",17.88,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BRA","Brazil","2008","2008",15.88,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BRA","Brazil","2009","2009",14.81,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BRA","Brazil","2011","2011",16.28,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BRA","Brazil","2012","2012",15.84,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BRA","Brazil","2013","2013",15.67,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BRA","Brazil","2014","2014",15.73,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BFA","Burkina Faso","2003","2003",88.53164,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BFA","Burkina Faso","2006","2006",83.21649,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","BFA","Burkina Faso","2010","2010",75.86627,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","KHM","Cambodia","2005","2005",50.05679,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","KHM","Cambodia","2010","2010",54.24046,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","KHM","Cambodia","2014","2014",61.24977,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","CMR","Cameroon","2004","2004",49.22487,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","CMR","Cameroon","2006","2006",47.22668,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","CMR","Cameroon","2011","2011",41.56314,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","CMR","Cameroon","2014","2014",40.75264,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","CHL","Chile","1990","1990",19.4,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","CHL","Chile","1992","1992",16.95,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","CHL","Chile","1994","1994",15.09,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","CHL","Chile","1996","1996",13.41,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","CHL","Chile","1998","1998",12.88,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","CHL","Chile","2000","2000",9.61,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","CHL","Chile","2003","2003",7.1,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","CHL","Chile","2006","2006",8.17,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","CHL","Chile","2009","2009",7.75,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","CHL","Chile","2011","2011",7.58,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","CHL","Chile","2013","2013",6.54,,
"ROFST_H_3","Rate of out-of-school youth of upper secondary school age, both sexes (household survey data) (%)","COL","Colombia","1991","1991",36.45,,
